File Name,Path,Instrument Method,Position,Inj Vol,Comment,Sample Name
20240424_UWPRLumos_TPcorals_angio,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\UWPR\methods_4_0\6_45%B_30min_AngioNeuro_PRM,1-V1,1,angio neuro,
20240424_UWPRLumos_TPcorals_angio2,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\UWPR\methods_4_0\6_45%B_30min_AngioNeuro_PRM,1-V1,1,angio neuro,
20240424_UWPRLumos_TPcorals_QC1,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\2021_PRTC_UWPRLumos_30min_30cmDrM_DIA_fullms,A1,3,QC1,
20240424_UWPRLumos_TPcorals_QC2,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\2021_PRTC_UWPRLumos_30min_30cmDrM_DIA_fullms,A1,3,QC1,
20240424_UWPRLumos_TPcorals_QC3,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\2021_PRTC_UWPRLumos_30min_30cmDrM_DIA_fullms,A1,3,QC1,
20240424_UWPRLumos_TPcorals_QC4,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\2021_PRTC_UWPRLumos_30min_30cmDrM_DIA_fullms,A1,3,QC1,
20240424_UWPRLumos_TPcorals_coral1,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\2021_2_36%B_90minGradient_130min_30s dynEx_OTMS2_DDA,A2,4,8 DDA,
20240424_UWPRLumos_TPcorals_coral2,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\DIA Methods\2022_nanoAcq_35cm_90mingrad_DIA_400_1000_8mzol_15k_20IIT_4e5agc_BCS,A2,4,8,
20240424_UWPRLumos_TPcorals_coral3,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\DIA Methods\2022_nanoAcq_35cm_90mingrad_DIA_400_1000_8mzol_15k_20IIT_4e5agc_BCS,A3,4,18,
20240424_UWPRLumos_TPcorals_coral4,C:\Xcalibur\data\Collaborators\Nunn\Emma\data_541,C:\Xcalibur\data\Collaborators\Nunn\Anais\Methods\DIA Methods\2022_nanoAcq_35cm_90mingrad_DIA_400_1000_8mzol_15k_20IIT_4e5agc_BCS,A4,4,16,
