tag;genotype;run;day;Treatment;env_run;replicate;light;temperature;tank;FvFm
64-A;64;AL;CBASS;Control;Control_AL;A;600;27;1;0.519
P1R2-A;P1R2;AL;CBASS;Control;Control_AL;A;600;27;1;0.471
S-19-A;19;AL;CBASS;Shade;Shade_AL;A;600;27;1;0.366
S-P1R2-A;P1R2;AL;CBASS;Shade;Shade_AL;A;600;27;1;0.455
90-B;90;AL;CBASS;Control;Control_AL;B;600;27;1;0.539
S-64Y-A;64Y;AL;CBASS;Shade;Shade_AL;A;600;27;1;0.376
19-A;19;AL;CBASS;Control;Control_AL;A;600;27;1;0.48
S-64-A;64;AL;CBASS;Shade;Shade_AL;A;600;27;1;0.569
S-90-A;90;AL;CBASS;Shade;Shade_AL;A;600;27;1;0.454
19-C;19;AL;CBASS;Control;Control_AL;C;600;27;1;0.497
90-C;90;AL;CBASS;Control;Control_AL;C;600;27;1;0.52
S-P1R2-B;P1R2;AL;CBASS;Shade;Shade_AL;B;600;27;1;0.453
19-B;19;AL;CBASS;Control;Control_AL;B;600;27;1;0.573
64-C;64;AL;CBASS;Control;Control_AL;C;600;27;1;0.554
64Y-B;64Y;AL;CBASS;Control;Control_AL;B;600;27;1;0.548
64Y-C;64Y;AL;CBASS;Control;Control_AL;C;600;27;1;0.525
S-64Y-B;64Y;AL;CBASS;Shade;Shade_AL;B;600;27;1;0.168
S-90-B;90;AL;CBASS;Shade;Shade_AL;B;600;27;1;0.487
S-64-B;64;AL;CBASS;Shade;Shade_AL;B;600;27;1;0.537
90-A;90;AL;CBASS;Control;Control_AL;A;600;27;1;0.658
S-90-C;90;AL;CBASS;Shade;Shade_AL;C;600;27;1;0.519
64Y-A;64Y;AL;CBASS;Control;Control_AL;A;600;27;1;0.579
S-19-B;19;AL;CBASS;Shade;Shade_AL;B;600;27;1;0.468
P1R2-C;P1R2;AL;CBASS;Control;Control_AL;C;600;27;1;0.548
S-64Y-C;64Y;AL;CBASS;Shade;Shade_AL;C;600;27;1;0.555
P1R2-B;P1R2;AL;CBASS;Control;Control_AL;B;600;27;1;0.571
S-P1R2-C;P1R2;AL;CBASS;Shade;Shade_AL;C;600;27;1;0.595
64-B;64;AL;CBASS;Control;Control_AL;B;600;27;1;0.675
S-19-C;19;AL;CBASS;Shade;Shade_AL;C;600;27;1;0.517
S-64-C;64;AL;CBASS;Shade;Shade_AL;C;600;27;1;0.571
64Y-D;64Y;AL;CBASS;Control;Control_AL;D;600;30;2;0.495
S-P1R2-D;P1R2;AL;CBASS;Shade;Shade_AL;D;600;30;2;0.495
P1R2-D;P1R2;AL;CBASS;Control;Control_AL;D;600;30;2;0.414
64-D;64;AL;CBASS;Control;Control_AL;D;600;30;2;0.62
90-E;90;AL;CBASS;Control;Control_AL;E;600;30;2;0.571
S-90-D;90;AL;CBASS;Shade;Shade_AL;D;600;30;2;0.469
S-64Y-D;64Y;AL;CBASS;Shade;Shade_AL;D;600;30;2;0.334
S-19-D;19;AL;CBASS;Shade;Shade_AL;D;600;30;2;0.316
90-F;90;AL;CBASS;Control;Control_AL;F;600;30;2;0.519
S-64-D;64;AL;CBASS;Shade;Shade_AL;D;600;30;2;0.426
S-90-E;90;AL;CBASS;Shade;Shade_AL;E;600;30;2;0.52
19-F;19;AL;CBASS;Control;Control_AL;F;600;30;2;0.492
64-F;64;AL;CBASS;Control;Control_AL;F;600;30;2;0.613
19-E;19;AL;CBASS;Control;Control_AL;E;600;30;2;0.552
S-64Y-E;64Y;AL;CBASS;Shade;Shade_AL;E;600;30;2;0.424
S-19-E;19;AL;CBASS;Shade;Shade_AL;E;600;30;2;0.445
64-E;64;AL;CBASS;Control;Control_AL;E;600;30;2;0.575
S-P1R2-E;P1R2;AL;CBASS;Shade;Shade_AL;E;600;30;2;0.535
64Y-E;64Y;AL;CBASS;Control;Control_AL;E;600;30;2;0.525
S-64Y-F;64Y;AL;CBASS;Shade;Shade_AL;F;600;30;2;0.492
P1R2-F;P1R2;AL;CBASS;Control;Control_AL;F;600;30;2;0.602
S-64-E;64;AL;CBASS;Shade;Shade_AL;E;600;30;2;0.585
64Y-F;64Y;AL;CBASS;Control;Control_AL;F;600;30;2;0.605
90-D;90;AL;CBASS;Control;Control_AL;D;600;30;2;0.554
S-90-F;90;AL;CBASS;Shade;Shade_AL;F;600;30;2;0.576
P1R2-E;P1R2;AL;CBASS;Control;Control_AL;E;600;30;2;0.608
