"Protein_group","L_A_1","L_F_3","L_A_3","H_F_2","H_E_1","H_D_3","L_E_2","H_C_3","H_C_1","L_D_1","L_D_2","L_B_2","H_A_1","H_B_1","L_E_1","H_F_3","L_D_2_2","H_E_2","L_B_3","L_C_1","H_E_3","L_E_2_2","L_C_2","H_F_1","L_C_3","L_A_2","H_B_3","H_B_2","L_F_2","H_D_2","H_D_1","H_A_2","H_C_2","L_B_1","H_A_3","L_F_1"
"Montipora_capitata_HIv3___RNAseq.10207_t",159094000,259751000,232326000,214481000,263502000,194446000,167953000,190571000,128610000,148231000,409645000,154154000,79054300,83453400,224285000,235948000,256745000,115940000,230034000,81871600,95594300,188620000,120453000,167092000,91569800,159258000,262726000,182206000,98558800,124535000,122030000,161230000,94119700,298041000,213753000,115282000
"Montipora_capitata_HIv3___RNAseq.10831_t",2055050,5275820,827488,3656620,1319070,4014280,3108420,2935630,3467820,1693100,1534070,3188610,1566220,2497590,4086920,1256920,3572350,1794230,1248590,1425220,2812840,2683360,2299190,1298150,2618480,1825160,1011200,1755690,1528770,1920930,2125150,3456640,2162050,899113,1925610,5190230
"Montipora_capitata_HIv3___RNAseq.13700_t",NA,NA,425807,NA,810854,490346,498698,881796,NA,559702,NA,NA,NA,534026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,713823,NA,NA,NA,NA,NA,464873,547219,NA
"Montipora_capitata_HIv3___RNAseq.13784_t",NA,NA,481036,735165,607385,1836170,1655390,1629550,2196690,NA,714873,633055,1769500,969475,1180970,840233,688150,1667580,931097,948388,1550840,587759,1501540,898511,1084180,657327,644107,1038050,NA,2601940,2063830,1546870,1333970,581879,912024,769950
"Montipora_capitata_HIv3___RNAseq.14659_t",421680,838594,616710,1135830,703365,337010,NA,NA,NA,NA,NA,375734,NA,NA,NA,2157380,1118490,NA,621750,NA,NA,549216,NA,417663,NA,NA,1844260,794837,NA,NA,NA,NA,NA,911279,1159520,NA
"Montipora_capitata_HIv3___RNAseq.14688_t",4133200,9419300,4023540,3513120,2030670,3727000,6836160,3056610,3381220,5436180,7120010,5797740,3970680,3035450,6343660,3506680,6900760,4389800,5277700,3889220,3731330,5156950,5081860,3491440,5905820,5747990,4181980,3844400,6198340,4373020,5816410,4758640,3876520,4552080,3075740,6577220
"Montipora_capitata_HIv3___RNAseq.14934_t",43224900,36960600,28997600,36217400,30114200,46579100,40963600,41945000,47652800,28828300,18096200,30770400,32577700,37560700,45682000,34402000,30739700,34730800,43003700,33396700,43334200,38574100,43513400,49725400,31902800,36262000,25079000,26496000,49504200,34637200,25977600,39586300,32791000,30029700,29159200,39912500
"Montipora_capitata_HIv3___RNAseq.15131_t;Montipora_capitata_HIv3___RNAseq.50707_t;Montipora_capitata_HIv3___RNAseq.51098_t;Montipora_capitata_HIv3___RNAseq.52414_t;Montipora_capitata_HIv3___RNAseq.g12282.t1;Montipora_capitata_HIv3___RNAseq.g12283.t1;Montipora_capitata_HIv3___RNAseq.g12287.t1;Montipora_capitata_HIv3___RNAseq.g27325.t1;Montipora_capitata_HIv3___RNAseq.g29646.t1;Montipora_capitata_HIv3___RNAseq.g41634.t1;Montipora_capitata_HIv3___RNAseq.g8174.t1;Montipora_capitata_HIv3___RNAseq.g8269.t1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16988600,2851210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montipora_capitata_HIv3___RNAseq.1525_t",523318,NA,388677,879174,374648,1072740,665928,654433,1213370,521258,256425,753605,695572,919836,426738,365405,291135,768444,682887,832932,618245,583608,904242,547535,675388,360325,462497,941281,943323,997476,1464150,770899,944356,298696,453227,891223
"Montipora_capitata_HIv3___RNAseq.1535_t",699948,3181190,NA,3230360,NA,7052980,5014500,5663210,919763,1130080,NA,NA,864639,NA,2263180,2825300,3491840,2046010,4452450,NA,NA,4031450,NA,NA,NA,2740130,254220,NA,NA,NA,NA,4713360,NA,2078520,NA,NA
