Protein_group	Koala_ko	Koala_definition	X1	X2	X3
SymbC1.scaffold1.1062					
SymbC1.scaffold1.1460					
SymbC1.scaffold1.830					
SymbC1.scaffold1.927					
SymbC1.scaffold100.9					
SymbC1.scaffold1003.5					
SymbC1.scaffold10035.1	K12823	DDX5, DBP2; ATP-dependent RNA helicase DDX5/DBP2 [EC:5.6.2.7]			
SymbC1.scaffold10035.2	K01875	SARS, serS; seryl-tRNA synthetase [EC:6.1.1.11]			
SymbC1.scaffold10059.2	K03234	EEF2; elongation factor 2			
SymbC1.scaffold1014.4					
SymbC1.scaffold10199.1					
SymbC1.scaffold10199.2					
SymbC1.scaffold1020.1					
SymbC1.scaffold1020.3					
SymbC1.scaffold10224.2	K13954	yiaY; alcohol dehydrogenase [EC:1.1.1.1]			
SymbC1.scaffold1024.4					
SymbC1.scaffold10242.1	K01276	DPP7; dipeptidyl-peptidase II [EC:3.4.14.2]			
SymbC1.scaffold10265.1					
SymbC1.scaffold1028.14					
SymbC1.scaffold1029.2					
SymbC1.scaffold1030.2					
SymbC1.scaffold1038.6					
SymbC1.scaffold1044.7					
SymbC1.scaffold1045.7	K02987	RP-S4e, RPS4; small subunit ribosomal protein S4e			
SymbC1.scaffold10487.1					
SymbC1.scaffold105.4	K17264	ERP44, TXNDC4; endoplasmic reticulum resident protein 44			
SymbC1.scaffold1050.1					
SymbC1.scaffold10501.2					
SymbC1.scaffold10501.3					
SymbC1.scaffold10507.1					
SymbC1.scaffold1055.4					
SymbC1.scaffold10555.2	K00411	UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]			
SymbC1.scaffold10565.1					
SymbC1.scaffold1058.2	K01934	MTHFS; 5-formyltetrahydrofolate cyclo-ligase [EC:6.3.3.2]			
SymbC1.scaffold1063.1	K01626	E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]			
SymbC1.scaffold1065.4	K15100	SLC25A1, CTP; solute carrier family 25 (mitochondrial citrate transporter), member 1			
SymbC1.scaffold10653.1					
SymbC1.scaffold1066.1					
SymbC1.scaffold1068.1					
SymbC1.scaffold1073.1	K17267	COPG; coatomer subunit gamma			
SymbC1.scaffold10731.2					
SymbC1.scaffold10731.3					
SymbC1.scaffold10747.3					
SymbC1.scaffold10803.1	K02985	RP-S3e, RPS3; small subunit ribosomal protein S3e			
SymbC1.scaffold1084.3					
SymbC1.scaffold1086.1					
SymbC1.scaffold1086.4					
SymbC1.scaffold10868.2					
SymbC1.scaffold1087.3	K03032	PSMD1, RPN2; 26S proteasome regulatory subunit N2			
SymbC1.scaffold1087.4					
